grupo
ALTERNADOR
AUTOMATICO PARTIDA
BENDIX (IMPULSOR)
ESTATOR ALTERNADOR
GARFO DE PARTIDA
INDUZIDO DE PARTIDA
MANCAL ALTERNADOR
MOTOR DE PARTIDA
PLANETARIA
POLIA ALTERNADOR
PORTA ESCOVA PARTIDA
REGULADOR VOLTAGEM
RETIFICADOR
ROTOR ALTERNADOR
