grupo
ALTERNADOR
AUTOMATICO PARTIDA
BENDIX (IMPULSOR)
BOBINA DE CAMPO
BUCHA MOTOR PARTIDA
CARCACA MOTOR PARTID
DIODO
ESCOVA PARTIDA
GARFO DE PARTIDA
INDUZIDO DE PARTIDA
MANCAL PARTIDA
MOTOR DE PARTIDA
PISTAO AUTOMATICO
PLANETARIA
PORTA ESCOVA PARTIDA
REPARO DE PARTIDA
ROLAMENTO LINHA ELET
