grupo
ADITIVO RAD
ALTERNADOR
ATUADOR HIDRAULICO E
AUTOMATICO PARTIDA
BENDIX (IMPULSOR)
BOBINA IGN-INJECAO
CHAVE SETA
CILINDRO DE IGNICAO
CILINDRO EMBREAGEM
COMPRESSOR AR CONDIC
CONTATO IGNICAO
ELETROVENTILADOR
EMBREAGEM
ESTATOR ALTERNADOR
INDUZIDO DE PARTIDA
MANCAL ALTERNADOR
MANCAL PARTIDA
MOTOR DE PARTIDA
PALHETA SLIM
PLANETARIA
POLIA ALTERNADOR
POLIA RODA LIVRE
PORTA ESCOVA PARTIDA
RADIADOR
REGULADOR VOLTAGEM
RETIFICADOR
ROTOR ALTERNADOR
SENSOR VELOCIDADE
TRAVA DIRECAO
