grupo
ALTERNADOR
CEBOLINHA FREIO
CEBOLINHA RE
DIODO
LIXEIRA
MOTOR DE PARTIDA
PORTA ESCOVA ALTERNA
REGULADOR VOLTAGEM
RETIFICADOR
TRIODO
VELAS IGN/AQUECE
