grupo
ABRACADEIRA PLASTICA
ANEL AJUSTE ALTERNAD
BICO INJETOR
BOBINA IGN-INJECAO
BORRACHA VEDACAO
BORRACHA VEDACAO FR
BOTAO DE PARTIDA
BUCHA MOTOR PARTIDA
BUZINA COPA
CACHIMBO P/SENSOR
CACHIMBO P/SENSOR FR
CAIXA DE FUSIVEL
CAME
CAME FR
CANETA POLARIDADE
CAPA DE TERMINAL
CARVAOZINHO
CHAVE TIC-TAC
CHICOTE 1 VIA FEMEA
CHICOTE 10 VIAS FEME
CHICOTE 14 VIAS FEME
CHICOTE 16 VIAS FEME
CHICOTE 2 VIAS FEMEA
CHICOTE 2 VIAS MACHO
CHICOTE 3 VIAS
CHICOTE 3 VIAS FEMEA
CHICOTE 3 VIAS MACHO
CHICOTE 4 VIAS FEMEA
CHICOTE 4 VIAS MACHO
CHICOTE 5 VIAS FEMEA
CHICOTE 5 VIAS MACHO
CHICOTE 6 VIAS FEMEA
CHICOTE 6 VIAS MACHO
CHICOTE 7 VIAS FEMEA
CHICOTE 7 VIAS MACHO
CHICOTE 8 VIAS FEMEA
CHICOTE 8 VIAS MACHO
CHICOTE ALTERNADOR
CHICOTE BASE P/RELE
CHICOTE DISTRIBUIDOR
CHICOTE IGNICAO
CHICOTE RADIO
CHICOTE TACOGRAFO
CIRCUITO DE LANTERNA
CONECTOR  3 VIAS M/F
CONECTOR  4 VIAS M/F
CONECTOR  5 VIAS FEM
CONECTOR  6 VIAS M/F
CONECTOR  8 VIAS FEM
CONECTOR  8 VIAS M/F
CONECTOR 2 VIAS M/F
ENGRENAGEM LIMPADOR
ESPAGUETE TERMO-RETR
GARRA DE BATERIA
INTERRUPTOR PORTA
INTERRUPTOR PORTA FR
LANTERNA
LANTERNA DE PLACA
LANTERNA PILOTO
LANTERNA PILOTO FR
LANTERNA TETO
LENTE
LIXEIRA
PENDENTE
PLANETARIA
PLUG ALTERNADOR
PORTA ESCOVA PARTIDA
PORTA FUSIVEL
PORTA FUSIVEL FR
RABICHO
REGULADOR FAROL
REPARO PLANETARIO
RESISTENCIA BOBINA
SOQUETE
SOQUETE FRACIONADO
TERMINAL BATERIA
TERMINAL ENCAIXE
TERMINAL REDONDO
TRIANGULO
