grupo
ADITIVO RAD
ALTERNADOR
ATUADOR MARCHA LENTA
BANDEJA
BARRA AXIAL
BARRA DIRECAO
BICO INJETOR
BICO INJETOR DIESEL
BIELETA
BOBINA IGN-INJECAO
BOMBA COMBUSTIVEL EL
BOMBA COMBUSTIVEL MC
BOMBA D'AGUA
BOMBA OLEO
BRACO OSCILANTE
BUCHA SUSPENSAO
CABO VELA
CAMBIO AUTOMATIZADO
CEBOLAO RADIADOR
CEBOLINHA OLEO
COIFA LADO CAMBIO
COIFA LADO RODA
COIFA RODA CAMBIO
COIFA SEMI EIXO
COMPRESSOR AR CONDIC
CONDENSADOR AR COND.
CORPO BORBOLETA -TBI
COXIM AMORTECEDOR
COXIM CAMBIO
COXIM MOTOR
CUBO RODA
ELETROVALVULA
ELETROVENTILADOR
FILTROS
JUNTA DESLIZANTE
JUNTA HOMOCINETICA
KIT AMORTECEDOR
KIT BARRA ESTABILIZA
KIT CORREIA DENTADA
LAMPADA HALOGENA
LAMPADA MINIATURA
LAMPADA MINIATURA FR
MODULO IGNICAO
MOLA SUSPENSAO
MOTOBOMBA
MOTOR LIMPADOR
PALHETA
PASTILHA COMUM
PIVO
RADIADOR
REGULADOR VOLTAGEM
RELACAO
RELE
RESISTENCIA VENTOINH
RETIFICADOR
ROLAMENTO LINHA ELET
ROTOR DISTRIBUIDOR
SEMI EIXO
SENSOR ABS
SENSOR BORBOLETA
SENSOR MAP
SENSOR NIVEL COMBUST
SENSOR ROTACAO
SENSOR TEMP
SENSOR VELOCIDADE
SUPORTE BARRA TENSOR
TAMPA DISTRIBUIDOR
TERMINAL DIRECAO
TRIZETA
TULIPA
VALVULA ADMISSAO
VALVULA ESCAPE
VALVULA TERMOSTATICA
VELA IRIDIUM
VELAS IGN/AQUECE
