grupo
AUTOMATICO PARTIDA
BOTAO DE PARTIDA
BOTAO VIDRO ELETRICO
CAIXA DE FUSIVEL
CEBOLINHA FREIO
CHAVE FAROL MILHA
CHAVE GERAL
CHAVE LIMPADOR
CHAVE LUZ
CHAVE PISCA ALERTA
CHAVE SETA
CHAVE TECLA
CHAVE TIC-TAC
CHAVE TIC-TAC FRACIO
CILINDRO DE IGNICAO
COMUTADOR FAROL
CONTATO IGNICAO
DISJUNTOR TERMICO
ESTATOR ALTERNADOR
FITA
INATIVO - CRAVO
INDUZIDO DE PARTIDA
INTERRUPTOR PORTA
MOTOBOMBA
RELE
ROLAMENTO LINHA ELET
ROTOR ALTERNADOR
SENSOR TEMP
TERMINAL ENCAIXE
TERMINAL REDONDO
TRAVA DIRECAO
