grupo
BOBINA IGN-INJECAO
BOTAO DE PARTIDA
CABO VELA
CAIXA DE FUSIVEL
CEBOLAO RADIADOR
CEBOLINHA FREIO
CEBOLINHA OLEO
CEBOLINHA RE
CHAVE LUZ
CHAVE TIC-TAC
CONDENSADOR
FLANGE BOMBA
INATIVO - CRAVO
INTERRUPTOR DIRECAO
INTERRUPTOR EMBREAGE
LIXEIRA
PLATINADO
ROTOR DISTRIBUIDOR
SENSOR PARTIDA FRIO
SENSOR TEMP
TAMPA DISTRIBUIDOR
