grupo
ANEL VEDACAO BOBINA
BOBINA IMPULSORA
BOIA COMBUSTIVEL
CAME
CONECTOR  3 VIAS M/F
EMBREAGEM DISTR
ESGUICHO PARA-BRISA
FLANGE BOMBA
FLAUTA COMBUSTIVEL
INTERRUPTOR PORTA
LANTERNA DE PLACA
LANTERNA TETO
PRE FILTRO BOMBA
REPARO BICO INJETOR
SOQUETE
