cd_loja,nome_loja
03,KAIZEN ASA NORTE
04,KAIZEN CEILÂNDIA
05,KAIZEN GAMA
08,KAIZEN PARQUE OESTE
07,KAIZEN PLANALTINA
06,KAIZEN SOF
01,PECISTA
VO,VENDAS ONLINE
